id,Dim_Season,Dim_Date,Dim_Team,Dim_Country,Fct_Indicator,Dim_SEQ,Dim_RSEQ,Dim_HA,Fct_pt,Fct_FTR,Fct_Vpt,Fct_Cnt,Dim_State
1,200809,2009-05-24,Arsenal,England,Dark Green,38,1,Home,72,W,5,1,CA
2,200809,2009-05-16,Arsenal,England,Green,37,2,Away,69,D,3,1,CA
3,200809,2009-05-10,Arsenal,England,Yellow,36,3,Home,68,L,-2,1,CA
4,200809,2009-05-02,Arsenal,England,Dark Green,35,4,Away,68,W,4,1,CA
5,200809,2009-04-26,Arsenal,England,Green,34,5,Home,65,W,3,1,CA
6,200809,2009-04-21,Arsenal,England,Dark Green,33,6,Away,62,D,4,1,CA
7,200809,2009-04-11,Arsenal,England,Dark Green,32,7,Away,61,W,5,1,CA
8,200809,2009-04-04,Arsenal,England,Green,31,8,Home,58,W,3,1,CA
9,200809,2009-03-21,Arsenal,England,Dark Green,30,9,Away,55,W,3,1,CA
10,200809,2009-03-14,Arsenal,England,Dark Green,29,10,Home,52,W,6,1,CA
11,200809,2009-03-03,Arsenal,England,Green,28,11,Away,49,W,3,1,CA
12,200809,2009-02-28,Arsenal,England,Grey,27,12,Home,46,D,-1,1,CA
13,200809,2009-02-21,Arsenal,England,Red,26,13,Home,45,D,-1,1,CA
14,200809,2009-02-08,Arsenal,England,Grey,25,14,Away,44,D,-1,1,CA
15,200809,2009-01-31,Arsenal,England,Grey,24,15,Home,43,D,-1,1,CA
16,200809,2009-01-28,Arsenal,England,Grey,23,16,Away,42,D,-1,1,CA
17,200809,2009-01-17,Arsenal,England,Dark Green,22,17,Away,41,W,3,1,CA
18,200809,2009-01-10,Arsenal,England,Green,21,18,Home,38,W,3,1,CA
19,200809,2008-12-28,Arsenal,England,Green,20,19,Home,35,W,3,1,CA
20,200809,2008-12-26,Arsenal,England,Green,19,20,Away,32,D,2,1,CA
21,200809,2008-12-21,Arsenal,England,Green,18,21,Home,31,D,2,1,CA
22,200809,2008-12-13,Arsenal,England,Red,17,22,Away,30,D,-1,1,CA
23,200809,2008-12-06,Arsenal,England,Green,16,23,Home,29,W,3,1,CA
24,200809,2008-11-30,Arsenal,England,Dark Green,15,24,Away,26,W,9,1,CA
25,200809,2008-11-22,Arsenal,England,Red,14,25,Away,23,L,-2,1,CA
26,200809,2008-11-15,Arsenal,England,Grey,13,26,Home,23,L,-1,1,CA
27,200809,2008-11-08,Arsenal,England,Dark Green,12,27,Home,23,W,4,1,CA
28,200809,2008-11-01,Arsenal,England,Yellow,11,28,Away,20,L,-2,1,CA
29,200809,2008-10-29,Arsenal,England,Yellow,10,29,Home,20,D,-5,1,CA
30,200809,2008-10-26,Arsenal,England,Dark Green,9,30,Away,19,W,3,1,CA
31,200809,2008-10-18,Arsenal,England,Dark Green,8,31,Home,16,W,4,1,CA
32,200809,2008-10-04,Arsenal,England,Red,7,32,Away,13,D,-1,1,CA
33,200809,2008-09-27,Arsenal,England,Grey,6,33,Home,12,L,-1,1,CA
34,200809,2008-09-20,Arsenal,England,Dark Green,5,34,Away,12,W,3,1,CA
35,200809,2008-09-13,Arsenal,England,Dark Green,4,35,Away,9,W,5,1,CA
36,200809,2008-08-30,Arsenal,England,Dark Green,3,36,Home,6,W,4,1,CA
37,200809,2008-08-23,Arsenal,England,Red,2,37,Away,3,L,-2,1,CA
38,200809,2008-08-16,Arsenal,England,Green,1,38,Home,3,W,2,1,CA
39,200809,2009-05-30,Barcelona,Spain,Grey,38,1,Away,87,D,-1,1,FL
40,200809,2009-05-23,Barcelona,Spain,Red,37,2,Home,86,L,-1,1,FL
41,200809,2009-05-17,Barcelona,Spain,Red,36,3,Away,86,L,-2,1,FL
42,200809,2009-05-10,Barcelona,Spain,Red,35,4,Home,86,D,-2,1,FL
43,200809,2009-05-02,Barcelona,Spain,Dark Green,34,5,Away,85,W,9,1,FL
44,200809,2009-04-25,Barcelona,Spain,Grey,33,6,Away,82,D,-1,1,FL
45,200809,2009-04-22,Barcelona,Spain,Dark Green,32,7,Home,81,W,5,1,FL
46,200809,2009-04-18,Barcelona,Spain,Green,31,8,Away,78,W,3,1,FL
47,200809,2009-04-11,Barcelona,Spain,Green,30,9,Home,75,W,2,1,FL
48,200809,2009-04-04,Barcelona,Spain,Green,29,10,Away,72,W,3,1,FL
49,200809,2009-03-22,Barcelona,Spain,Dark Green,28,11,Home,69,W,7,1,FL
50,200809,2009-03-15,Barcelona,Spain,Green,27,12,Away,66,W,3,1,FL
51,200809,2009-03-07,Barcelona,Spain,Green,26,13,Home,63,W,3,1,FL
52,200809,2009-03-01,Barcelona,Spain,Red,25,14,Away,60,L,-2,1,FL
53,200809,2009-02-21,Barcelona,Spain,Grey,24,15,Home,60,L,-1,1,FL
54,200809,2009-02-14,Barcelona,Spain,Red,23,16,Away,60,D,-1,1,FL
55,200809,2009-02-08,Barcelona,Spain,Dark Green,22,17,Home,59,W,4,1,FL
56,200809,2009-02-01,Barcelona,Spain,Green,21,18,Away,56,W,3,1,FL
57,200809,2009-01-24,Barcelona,Spain,Dark Green,20,19,Home,53,W,5,1,FL
58,200809,2009-01-17,Barcelona,Spain,Dark Green,19,20,Home,50,W,6,1,FL
59,200809,2009-01-11,Barcelona,Spain,Green,18,21,Away,47,W,3,1,FL
60,200809,2009-01-03,Barcelona,Spain,Dark Green,17,22,Home,44,W,4,1,FL
61,200809,2008-12-21,Barcelona,Spain,Dark Green,16,23,Away,41,W,3,1,FL
62,200809,2008-12-13,Barcelona,Spain,Dark Green,15,24,Home,38,W,3,1,FL
63,200809,2008-12-06,Barcelona,Spain,Dark Green,14,25,Home,35,W,6,1,FL
64,200809,2008-11-29,Barcelona,Spain,Dark Green,13,26,Away,32,W,4,1,FL
65,200809,2008-11-23,Barcelona,Spain,Red,12,27,Home,29,D,-1,1,FL
66,200809,2008-11-16,Barcelona,Spain,Green,11,28,Away,28,W,3,1,FL
67,200809,2008-11-08,Barcelona,Spain,Dark Green,10,29,Home,25,W,6,1,FL
68,200809,2008-11-01,Barcelona,Spain,Dark Green,9,30,Away,22,W,4,1,FL
69,200809,2008-10-25,Barcelona,Spain,Dark Green,8,31,Home,19,W,6,1,FL
70,200809,2009-05-31,Sevilla,Spain,Dark Green,38,1,Away,70,W,3,1,FL
71,200809,2009-05-23,Sevilla,Spain,Dark Green,37,2,Home,67,W,3,1,FL
72,200809,2009-05-16,Sevilla,Spain,Grey,36,3,Away,64,D,-1,1,FL
73,200809,2009-05-09,Sevilla,Spain,Dark Green,35,4,Home,63,W,5,1,FL
74,200809,2009-05-02,Sevilla,Spain,Dark Green,34,5,Away,60,W,4,1,FL
75,200809,2009-04-26,Sevilla,Spain,Yellow,33,6,Home,57,L,-2,1,FL
76,200809,2009-04-22,Sevilla,Spain,Red,32,7,Away,57,L,-2,1,FL
77,200809,2009-04-19,Sevilla,Spain,Red,31,8,Away,57,L,-1,1,FL
78,200809,2009-04-12,Sevilla,Spain,Grey,30,9,Home,57,L,-1,1,FL
79,200809,2009-04-04,Sevilla,Spain,Dark Green,29,10,Away,57,W,3,1,FL
